"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"теперь" 0.0609549610565527 0.18415600644546 0.108717137774264 0 0.118419636128754 0.206043956043956 0.1543630255153 0.0829515312273933 0.04624423260849 0.0555483080911161 0.0272405339144647
"об" 0.0677277345072807 0.115097504028413 0 0.0595592614651578 0.0825348979079198 0.0686813186813187 0.036320711885953 0.0636604774535809 0.0562287828307776 0.0913180519376681 0.0181603559429765
"этот" 0.0609549610565527 0.0624815021868526 0.0098833761612967 0 0.0825348979079198 0.274725274725275 0.0454008898574412 0.0954907161803713 0.0614838092635606 0.0593356927336922 0.118042313629347
"два" 0.0812732814087369 0.147982505179388 0.0494168808064835 0.0595592614651578 0.0933003193741702 0 0.0590211568146736 0.0795755968169761 0.0557032801874993 0.0589148722178504 0.136202669572324
"тогда" 0.0541821876058246 0.0394620013811701 0.0296501284838901 0 0.0466501596870851 0 0.036320711885953 0.11622859898722 0.028377142737028 0.0723811287247876 0.136202669572324
"глазами" 0.0203183203521842 0.00986550034529251 0.0395335046451868 0 0.0574155811533355 0 0.0408608008716971 0.0525681215336388 0.106151533942216 0.0719603082089458 0.0726414237719059
"перед" 0.0406366407043684 0.0394620013811701 0.0296501284838901 0.0595592614651578 0.0933003193741702 0 0.07718151275765 0.0704123462744152 0.0725193647724048 0.06354389789211 0.1543630255153
"возле" 0 0.00657700023019501 0.0197667523225934 0 0.0215308429325008 0 0.0136202669572324 0.0930793344586448 0.0635858198366738 0.0744852313039965 0.0998819576863706
"ноги" 0.00677277345072807 0.00986550034529251 0.0691836331290769 0.0595592614651578 0.0466501596870851 0 0.0544810678289294 0.0670364118639981 0.0846059255678056 0.071539487693104 0.0726414237719059
"человек" 0.115137148662377 0.0756355026472426 0.187784147064637 0 0.111242688484588 0 0.0590211568146736 0.0655895828309621 0.060432803977004 0.057652410670325 0.145282847543812
"этого" 0.0474094141550965 0.0887895031076326 0.0395335046451868 0.0595592614651578 0.0574155811533355 0.0686813186813187 0.07718151275765 0.0737882806848324 0.0557032801874993 0.0681729235663697 0.118042313629347
"нибудь" 0.0406366407043684 0.0953665033378276 0.0691836331290769 0.0595592614651578 0.0933003193741702 0.0686813186813187 0.127122491600835 0.0925970581142995 0.0257496295206365 0.0660688209871608 0.0817216017433942
"ничего" 0.0338638672536404 0.115097504028413 0.14825064241945 0.0595592614651578 0.107654214662504 0.0686813186813187 0.1543630255153 0.0680009645526887 0.0467697352517683 0.0601773337653757 0.0908017797148824
"будто" 0.0677277345072807 0.019731000690585 0.0494168808064835 0.119118522930316 0.0394732120429181 0 0.0998819576863706 0.0641427537979262 0.0683153436261784 0.0690145645980533 0.172523381458277
"стал" 0.0338638672536404 0.0559045019566576 0.0395335046451868 0 0.0322962643987512 0 0.0817216017433942 0.0665541355196528 0.0599073013337257 0.0782726159465726 0.0726414237719059
"ей" 0.0135455469014561 0.0460390016113651 0.0494168808064835 0 0.0287077905766677 0 0.0681013347861618 0.0805401495056667 0.0493972484681598 0.0761685133673637 0.036320711885953
"куда" 0.0541821876058246 0.02630800092078 0.0296501284838901 0 0.0825348979079198 0.0686813186813187 0.0998819576863706 0.0737882806848324 0.051499259041273 0.0694353851138951 0.0726414237719059
